Planet Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period (days),Planet Radius (Earth Radius),Planet Mass,Distance From Earth,Release Date
11 Com b,2,1,Radial Velocity,2007,Xinglong Station,323.21,,4914.89849,93.1846,9/19/2023 0:00
11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,,4684.8142,125.321,9/6/2018 0:00
14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,,1131.1513,75.4392,9/19/2023 0:00
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,,2559.47216,17.9323,6/12/2023 0:00
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,799.45,,556.83537,21.1397,9/20/2021 0:00
17 Sco b,1,1,Radial Velocity,2020,Lick Observatory,578.38,,1373.01872,124.953,10/25/2021 0:00
18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,,2926.24614,76.222,9/19/2023 0:00
1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,,,3000,139.135,4/1/2015 0:00
24 Boo b,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,,280.64248,95.9863,9/19/2023 0:00
24 Sex b,1,2,Radial Velocity,2010,Lick Observatory,452.8,,632.46,72.0691,5/14/2014 0:00
24 Sex c,1,2,Radial Velocity,2010,Lick Observatory,883,,273.32,72.0691,5/14/2014 0:00
2M0437 b,1,1,Imaging,2021,Subaru Telescope,,,1271.31363,128.484,12/13/2021 0:00
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,Paranal Observatory,,,4131.79,,9/3/2020 0:00
2MASS J01225093-2439505 b,1,1,Imaging,2013,W. M. Keck Observatory,,11.209,,33.8281,9/3/2015 0:00
2MASS J02192210-3925225 b,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,16.141,4417.837,,5/14/2015 0:00
2MASS J0249-0557 c,2,1,Imaging,2018,Mauna Kea Observatory,,,3686.80952,66.0613,5/13/2024 0:00
2MASS J03590986+2009361 b,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,5720.91133,117.435,5/8/2024 0:00
2MASS J04414489+2301513 b,1,1,Imaging,2010,Hubble Space Telescope,,,2383.6,,5/14/2014 0:00
2MASS J11011926-7732383 b,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,8899.1954,,5/8/2024 0:00
2MASS J11550485-7919108 b,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,6356.56814,100.862,5/7/2024 0:00
2MASS J12073346-3932539 b,1,1,Imaging,2004,Paranal Observatory,,,1589.15,64.308,2/25/2016 0:00
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,Kepler,406,,591.16084,396.332,4/19/2022 0:00
2MASS J21252752-8138278 b,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,3813.94088,34.1154,5/7/2024 0:00
2MASS J22362452+4751425 b,1,1,Imaging,2016,W. M. Keck Observatory,,,3972.875,69.5737,11/10/2016 0:00
30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,,4392.4106,44.657,9/6/2018 0:00
4 UMa b,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,,2511.48007,73.4603,9/19/2023 0:00
42 Dra b,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,,1233.13,90.6545,5/14/2014 0:00
47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,1076.6,,774.86566,13.7967,9/20/2021 0:00
47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,2287,,157.96072,13.7967,9/20/2021 0:00
47 UMa d,1,3,Radial Velocity,2009,Lick Observatory,19000,,479.92089,13.7967,9/20/2021 0:00
51 Eri b,3,1,Imaging,2015,Gemini Observatory,11688,,,29.7575,7/11/2019 0:00
51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.2307969,,147.47238,15.4614,5/9/2022 0:00
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.65171,,267.29369,12.5855,5/9/2022 0:00
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.3827,,54.34866,12.5855,9/20/2021 0:00
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,4820,,908.98924,12.5855,9/20/2021 0:00
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.73654625,2.023,,12.5855,12/10/2024 0:00
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,260.98,,46.87969,12.5855,9/20/2021 0:00
6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86,,597.83523,54.6599,9/19/2023 0:00
61 Vir b,1,3,Radial Velocity,2009,Multiple Observatories,4.21487,,5.11704,8.50332,9/20/2021 0:00
61 Vir c,1,3,Radial Velocity,2009,Multiple Observatories,38.0957,,16.1139,8.50332,9/20/2021 0:00
61 Vir d,1,3,Radial Velocity,2009,Multiple Observatories,123.01,,22.9,8.50332,5/14/2014 0:00
7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,,,616.5,19.8101,9/13/2024 0:00
7 CMa c,1,2,Radial Velocity,2019,Multiple Observatories,,,289.9,19.8101,9/13/2024 0:00
70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,116.69335,,2297.89938,17.9011,9/20/2021 0:00
75 Cet b,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62,,787.89662,82.9613,9/19/2023 0:00
75 Cet c,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62,,289.85951,82.9613,9/19/2023 0:00
8 UMi b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,,416.3573,162.552,9/6/2018 0:00
81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57,,1051.05854,101.26,9/19/2023 0:00
91 Aqr b,3,1,Radial Velocity,2013,Lick Observatory,181.4,,1017,44.0304,5/14/2014 0:00
AB Aur b,1,1,Imaging,2022,Subaru Telescope,,,2860.45566,162.127,4/12/2022 0:00
AB Pic b,1,1,Imaging,2005,Paranal Observatory,,,4290.5,50.0475,5/14/2014 0:00
AF Lep b,1,1,Imaging,2023,Paranal Observatory,8030,,1017.0509,26.8564,6/12/2023 0:00
AU Mic b,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46308,3.957,,9.7221,9/28/2024 0:00
AU Mic c,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85969,2.522,,9.7221,9/28/2024 0:00
AU Mic d,1,3,Transit Timing Variations,2023,Multiple Observatories,12.73596,,1.053,9.7221,10/3/2024 0:00
BD+03 2562 b,1,1,Radial Velocity,2017,Multiple Observatories,481.9,,2034.112,1070.63,6/15/2017 0:00
BD+14 4559 b,1,1,Radial Velocity,2009,McDonald Observatory,268.94,,330.5432,49.352,9/6/2018 0:00
BD+15 2375 b,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,,337.21763,768.045,2/4/2016 0:00
BD+15 2940 b,1,1,Radial Velocity,2013,McDonald Observatory,137.48,,352.78,426.42,5/14/2014 0:00
BD+20 2457 b,1,2,Radial Velocity,2009,McDonald Observatory,379.63,,17668.1697,1539.71,9/6/2018 0:00
BD+20 2457 c,1,2,Radial Velocity,2009,McDonald Observatory,621.99,,3963.17,1539.71,5/14/2014 0:00
BD+20 274 b,1,1,Radial Velocity,2012,McDonald Observatory,578.2,,1334.886,1322.51,9/18/2015 0:00
BD+20 594 b,1,1,Transit,2016,K2,41.6855,2.578,22.2481,179.461,4/26/2018 0:00
BD+45 564 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,307.88,,432.24663,53.622,5/28/2021 0:00
BD+48 738 b,1,1,Radial Velocity,2011,McDonald Observatory,392.6,,289.2253,871.493,8/13/2015 0:00
BD+48 740 b,1,1,Radial Velocity,2018,Multiple Observatories,733,,540.311,666.589,2/1/2018 0:00
